The list_file_train:./annotation/DFEW_set_1_train.txt; The list_file_val:./annotation/DFEW_set_1_test.txt.********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.0498 (2.0498)	Accuracy 18.750 (18.750)
Epoch: [0][ 10/292]	Loss 2.2524 (2.0602)	Accuracy 12.500 (18.466)
Epoch: [0][ 20/292]	Loss 2.6525 (2.1411)	Accuracy 12.500 (18.899)
Epoch: [0][ 30/292]	Loss 2.3028 (2.1379)	Accuracy 12.500 (19.153)
Epoch: [0][ 40/292]	Loss 1.6849 (2.1134)	Accuracy 34.375 (20.503)
Epoch: [0][ 50/292]	Loss 1.8969 (2.0806)	Accuracy 28.125 (20.282)
Epoch: [0][ 60/292]	Loss 1.8259 (2.0610)	Accuracy 18.750 (20.492)
Epoch: [0][ 70/292]	Loss 1.7021 (2.0287)	Accuracy 31.250 (20.907)
Epoch: [0][ 80/292]	Loss 1.9082 (2.0067)	Accuracy  9.375 (20.486)
Epoch: [0][ 90/292]	Loss 1.8295 (1.9886)	Accuracy 21.875 (20.604)
Epoch: [0][100/292]	Loss 1.8925 (1.9756)	Accuracy  9.375 (21.101)
Epoch: [0][110/292]	Loss 1.7589 (1.9654)	Accuracy 28.125 (20.777)
Epoch: [0][120/292]	Loss 1.7053 (1.9515)	Accuracy 37.500 (21.152)
Epoch: [0][130/292]	Loss 1.7849 (1.9385)	Accuracy 21.875 (21.064)
Epoch: [0][140/292]	Loss 1.8796 (1.9352)	Accuracy 18.750 (20.922)
Epoch: [0][150/292]	Loss 1.7484 (1.9302)	Accuracy 28.125 (20.944)
Epoch: [0][160/292]	Loss 1.7516 (1.9213)	Accuracy 34.375 (21.079)
Epoch: [0][170/292]	Loss 1.7881 (1.9172)	Accuracy 21.875 (21.053)
Epoch: [0][180/292]	Loss 1.7261 (1.9126)	Accuracy 25.000 (21.167)
Epoch: [0][190/292]	Loss 1.8146 (1.9089)	Accuracy 18.750 (20.893)
Epoch: [0][200/292]	Loss 1.8424 (1.9050)	Accuracy 18.750 (21.051)
Epoch: [0][210/292]	Loss 1.7434 (1.8995)	Accuracy 21.875 (21.046)
Epoch: [0][220/292]	Loss 2.0889 (1.8969)	Accuracy  6.250 (20.928)
Epoch: [0][230/292]	Loss 1.8618 (1.8932)	Accuracy 28.125 (21.036)
Epoch: [0][240/292]	Loss 1.6908 (1.8879)	Accuracy 28.125 (21.149)
Epoch: [0][250/292]	Loss 1.9209 (1.8855)	Accuracy 12.500 (21.178)
Epoch: [0][260/292]	Loss 1.6501 (1.8823)	Accuracy 25.000 (21.097)
Epoch: [0][270/292]	Loss 1.9852 (1.8793)	Accuracy 25.000 (21.172)
Epoch: [0][280/292]	Loss 1.8012 (1.8761)	Accuracy 28.125 (21.185)
Epoch: [0][290/292]	Loss 1.7726 (1.8731)	Accuracy 15.625 (21.252)
Test: [ 0/74]	Loss 1.8892 (1.8892)	Accuracy 12.500 (12.500)
Test: [10/74]	Loss 1.7254 (1.7521)	Accuracy 21.875 (23.864)
Test: [20/74]	Loss 1.7679 (1.7910)	Accuracy 21.875 (21.429)
Test: [30/74]	Loss 1.7628 (1.7997)	Accuracy 25.000 (20.060)
Test: [40/74]	Loss 1.7377 (1.7890)	Accuracy 15.625 (21.037)
Test: [50/74]	Loss 1.7290 (1.7920)	Accuracy 28.125 (21.140)
Test: [60/74]	Loss 1.5741 (1.7747)	Accuracy 37.500 (22.695)
Test: [70/74]	Loss 1.6246 (1.7583)	Accuracy 68.750 (24.208)
Current Accuracy: 23.708
The best accuracy: 23.70781707763672
An epoch time: {:.1f}s194.70562386512756
********************1********************
Current learning rate: 0.01
Epoch: [1][  0/292]	Loss 1.6974 (1.6974)	Accuracy 28.125 (28.125)
Epoch: [1][ 10/292]	Loss 1.8096 (1.7832)	Accuracy 21.875 (23.011)
Epoch: [1][ 20/292]	Loss 1.8957 (1.7931)	Accuracy 21.875 (22.024)
Epoch: [1][ 30/292]	Loss 1.9145 (1.8028)	Accuracy 31.250 (22.278)
Epoch: [1][ 40/292]	Loss 1.8515 (1.7989)	Accuracy 15.625 (22.942)
Epoch: [1][ 50/292]	Loss 1.8018 (1.8027)	Accuracy 18.750 (22.120)
Epoch: [1][ 60/292]	Loss 1.9439 (1.8026)	Accuracy 21.875 (21.414)
Epoch: [1][ 70/292]	Loss 1.9443 (1.7963)	Accuracy 18.750 (21.567)
Epoch: [1][ 80/292]	Loss 1.7788 (1.7948)	Accuracy 28.125 (21.566)
Epoch: [1][ 90/292]	Loss 1.7848 (1.7932)	Accuracy 25.000 (22.012)
Epoch: [1][100/292]	Loss 1.8877 (1.7932)	Accuracy 15.625 (21.999)
Epoch: [1][110/292]	Loss 1.7443 (1.7916)	Accuracy 15.625 (21.734)
Epoch: [1][120/292]	Loss 1.8270 (1.7932)	Accuracy 21.875 (21.746)
Epoch: [1][130/292]	Loss 1.7832 (1.7906)	Accuracy 25.000 (21.803)
Epoch: [1][140/292]	Loss 1.6998 (1.7930)	Accuracy 28.125 (21.831)
Epoch: [1][150/292]	Loss 1.8490 (1.7954)	Accuracy 25.000 (21.399)
Epoch: [1][160/292]	Loss 1.7397 (1.7949)	Accuracy 25.000 (21.487)
Epoch: [1][170/292]	Loss 1.7166 (1.7935)	Accuracy 21.875 (21.583)
Epoch: [1][180/292]	Loss 1.7342 (1.7952)	Accuracy 18.750 (21.651)
Epoch: [1][190/292]	Loss 1.6403 (1.7942)	Accuracy 43.750 (21.760)
Epoch: [1][200/292]	Loss 1.9159 (1.7954)	Accuracy 21.875 (21.782)
Epoch: [1][210/292]	Loss 1.8055 (1.7948)	Accuracy 43.750 (21.949)
Epoch: [1][220/292]	Loss 1.7679 (1.7937)	Accuracy 18.750 (22.002)
Epoch: [1][230/292]	Loss 1.8499 (1.7946)	Accuracy 15.625 (22.064)
Epoch: [1][240/292]	Loss 1.8734 (1.7930)	Accuracy 21.875 (22.121)
Epoch: [1][250/292]	Loss 1.8023 (1.7929)	Accuracy 28.125 (22.224)
Epoch: [1][260/292]	Loss 1.7498 (1.7941)	Accuracy 25.000 (22.174)
Epoch: [1][270/292]	Loss 1.8710 (1.7938)	Accuracy 15.625 (22.140)
Epoch: [1][280/292]	Loss 1.7998 (1.7942)	Accuracy 25.000 (22.286)
Epoch: [1][290/292]	Loss 1.7850 (1.7946)	Accuracy 21.875 (22.305)
Test: [ 0/74]	Loss 1.8406 (1.8406)	Accuracy 15.625 (15.625)
Test: [10/74]	Loss 1.8059 (1.7730)	Accuracy 15.625 (22.443)
Test: [20/74]	Loss 1.7505 (1.8051)	Accuracy 18.750 (20.982)
Test: [30/74]	Loss 1.8101 (1.8083)	Accuracy 15.625 (20.867)
Test: [40/74]	Loss 1.7286 (1.7991)	Accuracy 18.750 (21.418)
Test: [50/74]	Loss 1.7690 (1.8054)	Accuracy 40.625 (21.752)
Test: [60/74]	Loss 1.6278 (1.7944)	Accuracy 43.750 (22.695)
Test: [70/74]	Loss 1.7000 (1.7847)	Accuracy 56.250 (23.988)
Current Accuracy: 23.366
The best accuracy: 23.70781707763672
An epoch time: {:.1f}s195.59060859680176
********************2********************
Current learning rate: 0.01
Epoch: [2][  0/292]	Loss 1.7152 (1.7152)	Accuracy 12.500 (12.500)
Epoch: [2][ 10/292]	Loss 1.7283 (1.7793)	Accuracy 31.250 (20.170)
Epoch: [2][ 20/292]	Loss 1.8726 (1.8065)	Accuracy 21.875 (20.387)
Epoch: [2][ 30/292]	Loss 1.7781 (1.8060)	Accuracy 18.750 (20.968)
Epoch: [2][ 40/292]	Loss 1.6880 (1.8090)	Accuracy 31.250 (21.037)
Epoch: [2][ 50/292]	Loss 1.7506 (1.7988)	Accuracy 25.000 (21.752)
Epoch: [2][ 60/292]	Loss 1.9777 (1.7960)	Accuracy 21.875 (21.977)
Epoch: [2][ 70/292]	Loss 1.6507 (1.7919)	Accuracy 21.875 (21.919)
Epoch: [2][ 80/292]	Loss 1.8291 (1.7923)	Accuracy 21.875 (22.029)
Epoch: [2][ 90/292]	Loss 1.8600 (1.7911)	Accuracy 28.125 (22.150)
Epoch: [2][100/292]	Loss 1.7439 (1.7881)	Accuracy 21.875 (22.587)
Epoch: [2][110/292]	Loss 1.6182 (1.7845)	Accuracy 37.500 (22.832)
Epoch: [2][120/292]	Loss 1.7158 (1.7799)	Accuracy 31.250 (23.321)
Epoch: [2][130/292]	Loss 1.8337 (1.7802)	Accuracy 28.125 (23.640)
Epoch: [2][140/292]	Loss 1.8601 (1.7793)	Accuracy 18.750 (23.360)
Epoch: [2][150/292]	Loss 1.8051 (1.7801)	Accuracy 15.625 (23.303)
Epoch: [2][160/292]	Loss 1.7830 (1.7779)	Accuracy 21.875 (23.428)
Epoch: [2][170/292]	Loss 1.7768 (1.7796)	Accuracy 28.125 (23.538)
Epoch: [2][180/292]	Loss 1.7938 (1.7804)	Accuracy 21.875 (23.602)
Epoch: [2][190/292]	Loss 1.8952 (1.7811)	Accuracy 15.625 (23.691)
Epoch: [2][200/292]	Loss 1.8428 (1.7805)	Accuracy 25.000 (23.632)
Epoch: [2][210/292]	Loss 1.6836 (1.7813)	Accuracy 31.250 (23.726)
Epoch: [2][220/292]	Loss 1.7124 (1.7810)	Accuracy 31.250 (23.756)
Epoch: [2][230/292]	Loss 1.6878 (1.7793)	Accuracy 18.750 (23.701)
Epoch: [2][240/292]	Loss 1.8255 (1.7801)	Accuracy 15.625 (23.755)
Epoch: [2][250/292]	Loss 1.7559 (1.7797)	Accuracy 25.000 (23.879)
Epoch: [2][260/292]	Loss 1.7830 (1.7794)	Accuracy 34.375 (23.934)
Epoch: [2][270/292]	Loss 1.7041 (1.7784)	Accuracy 37.500 (24.043)
Epoch: [2][280/292]	Loss 1.7022 (1.7767)	Accuracy 21.875 (24.055)
Epoch: [2][290/292]	Loss 1.7839 (1.7761)	Accuracy 25.000 (24.162)
Test: [ 0/74]	Loss 1.8086 (1.8086)	Accuracy 15.625 (15.625)
Test: [10/74]	Loss 1.7617 (1.7492)	Accuracy 21.875 (24.148)
Test: [20/74]	Loss 1.7230 (1.7957)	Accuracy 18.750 (20.982)
Test: [30/74]	Loss 1.7548 (1.8174)	Accuracy 25.000 (19.758)
Test: [40/74]	Loss 1.7942 (1.8041)	Accuracy 15.625 (20.351)
Test: [50/74]	Loss 1.7431 (1.8083)	Accuracy 37.500 (20.588)
Test: [60/74]	Loss 1.5299 (1.7932)	Accuracy 46.875 (22.285)
Test: [70/74]	Loss 1.4809 (1.7730)	Accuracy 65.625 (23.592)
Current Accuracy: 23.152
The best accuracy: 23.70781707763672
An epoch time: {:.1f}s193.83094239234924
********************3********************
Current learning rate: 0.01
Epoch: [3][  0/292]	Loss 1.7332 (1.7332)	Accuracy 34.375 (34.375)
Epoch: [3][ 10/292]	Loss 1.7963 (1.7662)	Accuracy 15.625 (23.011)
Epoch: [3][ 20/292]	Loss 1.7561 (1.7687)	Accuracy 28.125 (23.214)
